barrio,room_type,accommodates,precio,ocupacion,amenity_count
Palermo,Entire home/apt,4,28503.0,96.0,37
Palermo,Entire home/apt,2,74565.0,222.0,48
Retiro,Entire home/apt,4,57762.0,192.0,23
Retiro,Entire home/apt,3,52815.0,36.0,44
Palermo,Entire home/apt,2,35707.0,204.0,36
San Nicolas,Entire home/apt,2,25342.0,42.0,43
San Nicolas,Entire home/apt,6,108025.0,156.0,34
Villa Luro,Entire home/apt,2,51009.0,18.0,28
Recoleta,Entire home/apt,3,95717.0,24.0,37
San Telmo,Entire home/apt,5,52511.0,204.0,15
Almagro,Entire home/apt,3,28356.0,30.0,56
Palermo,Entire home/apt,4,55662.0,255.0,41
Recoleta,Entire home/apt,2,26875.0,180.0,52
Palermo,Entire home/apt,2,47260.0,24.0,26
Recoleta,Entire home/apt,2,22800.0,255.0,55
Retiro,Entire home/apt,3,28356.0,24.0,34
Monserrat,Private room,1,15753.0,6.0,19
Puerto Madero,Entire home/apt,2,73536.0,78.0,65
Palermo,Entire home/apt,2,59264.0,162.0,49
Colegiales,Entire home/apt,3,40958.0,198.0,52
Palermo,Entire home/apt,2,62110.0,6.0,58
Palermo,Entire home/apt,4,47260.0,108.0,38
Palermo,Entire home/apt,4,24607.0,255.0,17
Palermo,Entire home/apt,5,39908.0,42.0,41
San Nicolas,Entire home/apt,2,26875.0,150.0,43
Recoleta,Entire home/apt,2,50410.0,24.0,34
Palermo,Entire home/apt,8,182885.0,84.0,43
Palermo,Entire home/apt,2,23315.0,240.0,33
Monserrat,Entire home/apt,2,36758.0,6.0,51
Chacarita,Entire home/apt,2,57762.0,6.0,38
Palermo,Entire home/apt,2,23105.0,84.0,20
Caballito,Entire home/apt,2,36758.0,18.0,33
Palermo,Entire home/apt,2,25951.0,102.0,13
Palermo,Entire home/apt,4,35403.0,72.0,12
Palermo,Entire home/apt,2,61963.0,18.0,50
San Telmo,Entire home/apt,3,35854.0,18.0,32
Boedo,Entire home/apt,4,35707.0,54.0,39
Palermo,Entire home/apt,4,88365.0,66.0,22
Belgrano,Entire home/apt,2,36695.0,78.0,36
Recoleta,Entire home/apt,6,58508.0,108.0,35
Caballito,Entire home/apt,2,36758.0,30.0,53
Almagro,Entire home/apt,2,52511.0,42.0,58
Balvanera,Private room,3,26255.0,12.0,37
Coghlan,Entire home/apt,3,27337.0,72.0,52
San Nicolas,Entire home/apt,2,30005.0,18.0,27
Colegiales,Entire home/apt,3,36758.0,18.0,52
San Nicolas,Private room,2,15722.0,132.0,46
San Nicolas,Entire home/apt,6,99025.0,210.0,40
Palermo,Entire home/apt,2,58508.0,126.0,30
Palermo,Entire home/apt,2,57310.0,24.0,35
Palermo,Entire home/apt,2,50410.0,204.0,60
Caballito,Entire home/apt,2,35182.0,66.0,42
Retiro,Entire home/apt,3,47260.0,30.0,46
Recoleta,Entire home/apt,6,92419.0,18.0,30
Parque Chacabuco,Entire home/apt,3,36012.0,12.0,42
San Telmo,Entire home/apt,2,26255.0,144.0,5
Monserrat,Entire home/apt,8,121569.0,108.0,47
Villa Crespo,Entire home/apt,4,37955.0,24.0,40
Almagro,Entire home/apt,3,36758.0,174.0,38
Retiro,Entire home/apt,2,68264.0,12.0,15
Belgrano,Entire home/apt,4,52511.0,54.0,50
Palermo,Entire home/apt,2,73368.0,48.0,59
Recoleta,Entire home/apt,2,25205.0,54.0,49
Palermo,Entire home/apt,2,51461.0,96.0,43
Nuñez,Entire home/apt,2,30908.0,54.0,38
Balvanera,Entire home/apt,2,21151.0,120.0,34
San Telmo,Entire home/apt,5,116301.0,60.0,72
Belgrano,Entire home/apt,3,51461.0,60.0,50
Palermo,Entire home/apt,5,110063.0,198.0,52
Recoleta,Entire home/apt,3,37808.0,132.0,50
Caballito,Entire home/apt,4,26756.0,30.0,37
Palermo,Entire home/apt,2,31055.0,144.0,41
Villa Crespo,Entire home/apt,3,28807.0,12.0,37
Palermo,Entire home/apt,4,31811.0,150.0,26
Belgrano,Entire home/apt,5,78766.0,18.0,28
Monserrat,Entire home/apt,4,89268.0,48.0,9
Belgrano,Entire home/apt,4,84017.0,30.0,43
Recoleta,Entire home/apt,4,34657.0,6.0,24
Recoleta,Entire home/apt,2,33302.0,84.0,8
Monserrat,Entire home/apt,2,48457.0,102.0,40
Recoleta,Entire home/apt,2,42912.0,84.0,51
Puerto Madero,Entire home/apt,3,113276.0,12.0,69
Palermo,Entire home/apt,3,28209.0,156.0,32
Recoleta,Entire home/apt,4,57762.0,6.0,28
Recoleta,Entire home/apt,4,73515.0,96.0,19
Villa Santa Rita,Entire home/apt,4,36758.0,12.0,39
Palermo,Entire home/apt,2,37209.0,198.0,41
Palermo,Entire home/apt,4,88365.0,66.0,22
San Nicolas,Entire home/apt,2,27946.0,186.0,27
Palermo,Entire home/apt,4,129702.0,66.0,38
Palermo,Entire home/apt,2,26255.0,42.0,39
Recoleta,Entire home/apt,3,51765.0,156.0,50
Palermo,Entire home/apt,3,79071.0,126.0,45
San Telmo,Entire home/apt,2,33607.0,42.0,25
Constitucion,Entire home/apt,2,31507.0,42.0,31
Balvanera,Entire home/apt,3,35707.0,12.0,22
Recoleta,Entire home/apt,2,47260.0,18.0,5
Almagro,Entire home/apt,2,40811.0,72.0,24
Palermo,Entire home/apt,2,42009.0,12.0,24
Monserrat,Entire home/apt,4,31507.0,102.0,42
Recoleta,Entire home/apt,2,33008.0,12.0,29
San Nicolas,Entire home/apt,2,26739.0,255.0,43
Recoleta,Entire home/apt,4,40213.0,84.0,42
Villa Urquiza,Entire home/apt,2,30456.0,12.0,35
Palermo,Entire home/apt,2,72465.0,42.0,66
Palermo,Entire home/apt,3,59264.0,102.0,47
Monserrat,Private room,3,97523.0,144.0,21
Palermo,Entire home/apt,4,52511.0,72.0,36
Constitucion,Entire home/apt,2,25205.0,6.0,21
Villa Crespo,Entire home/apt,8,68264.0,210.0,43
Recoleta,Entire home/apt,6,79512.0,30.0,26
Palermo,Entire home/apt,2,47260.0,48.0,30
Balvanera,Entire home/apt,5,63013.0,30.0,30
Palermo,Entire home/apt,4,51461.0,18.0,49
Palermo,Entire home/apt,2,33891.0,180.0,51
Palermo,Entire home/apt,4,70365.0,6.0,31
Balvanera,Entire home/apt,3,43647.0,60.0,43
Retiro,Entire home/apt,4,28356.0,6.0,36
Palermo,Entire home/apt,3,54464.0,12.0,29
Palermo,Entire home/apt,2,41179.0,204.0,54
Belgrano,Entire home/apt,2,30351.0,132.0,49
Palermo,Entire home/apt,2,38711.0,54.0,36
Palermo,Entire home/apt,2,44109.0,36.0,45
San Nicolas,Entire home/apt,7,210043.0,6.0,28
Palermo,Entire home/apt,3,35707.0,90.0,45
Recoleta,Entire home/apt,7,101871.0,12.0,46
San Telmo,Entire home/apt,3,52364.0,42.0,56
San Nicolas,Entire home/apt,2,30320.0,255.0,44
Recoleta,Entire home/apt,2,23000.0,60.0,10
Palermo,Entire home/apt,2,27904.0,54.0,16
Recoleta,Entire home/apt,5,157533.0,12.0,54
Palermo,Entire home/apt,2,123022.0,48.0,53
Palermo,Entire home/apt,2,103971.0,6.0,8
Palermo,Entire home/apt,2,22233.0,255.0,33
Palermo,Entire home/apt,3,134281.0,18.0,57
Retiro,Entire home/apt,2,34657.0,18.0,9
Palermo,Entire home/apt,5,109522.0,192.0,59
Recoleta,Entire home/apt,2,44109.0,36.0,54
Colegiales,Entire home/apt,2,36758.0,30.0,39
Palermo,Entire home/apt,5,66017.0,84.0,42
Palermo,Entire home/apt,6,40958.0,255.0,64
Colegiales,Entire home/apt,2,31507.0,78.0,32
Palermo,Entire home/apt,2,28051.0,18.0,7
Palermo,Entire home/apt,2,45159.0,12.0,36
Parque Patricios,Entire home/apt,4,33607.0,102.0,35
San Telmo,Entire home/apt,3,25205.0,6.0,19
Palermo,Entire home/apt,6,78913.0,66.0,29
Palermo,Private room,2,87750.0,6.0,43
Palermo,Entire home/apt,2,42009.0,60.0,42
San Cristobal,Entire home/apt,2,42857.0,36.0,24
Recoleta,Entire home/apt,2,32105.0,96.0,40
Palermo,Entire home/apt,2,39908.0,132.0,49
Palermo,Entire home/apt,2,45012.0,18.0,19
Palermo,Entire home/apt,8,76813.0,24.0,41
Palermo,Entire home/apt,3,71415.0,30.0,29
San Nicolas,Entire home/apt,5,60608.0,12.0,41
San Nicolas,Entire home/apt,4,37115.0,6.0,10
Palermo,Entire home/apt,2,50410.0,114.0,46
Recoleta,Entire home/apt,3,35067.0,24.0,43
Almagro,Entire home/apt,2,32872.0,30.0,32
Nuñez,Entire home/apt,4,62267.0,102.0,55
Palermo,Entire home/apt,4,34804.0,60.0,46
Monserrat,Entire home/apt,4,38406.0,156.0,24
Palermo,Entire home/apt,3,32557.0,6.0,9
Palermo,Entire home/apt,5,105022.0,36.0,37
Recoleta,Entire home/apt,2,31507.0,36.0,31
San Telmo,Entire home/apt,2,28681.0,36.0,33
Recoleta,Entire home/apt,4,31507.0,6.0,36
San Nicolas,Entire home/apt,3,29406.0,12.0,20
Almagro,Entire home/apt,2,23105.0,72.0,24
Palermo,Entire home/apt,3,63013.0,6.0,26
Palermo,Entire home/apt,4,36758.0,78.0,32
Recoleta,Entire home/apt,2,39761.0,6.0,31
Recoleta,Private room,2,31507.0,30.0,42
San Telmo,Entire home/apt,4,81875.0,60.0,64
Villa Del Parque,Entire home/apt,2,43059.0,6.0,22
San Nicolas,Entire home/apt,2,32557.0,48.0,34
Palermo,Entire home/apt,2,19954.0,36.0,29
Villa Crespo,Entire home/apt,2,33607.0,30.0,36
Palermo,Entire home/apt,2,20794.0,24.0,22
Recoleta,Entire home/apt,5,115524.0,24.0,39
Palermo,Entire home/apt,4,48762.0,126.0,38
Colegiales,Entire home/apt,4,61007.0,66.0,22
Recoleta,Entire home/apt,2,42009.0,54.0,32
Palermo,Entire home/apt,2,141779.0,162.0,43
San Nicolas,Entire home/apt,6,56712.0,6.0,37
Palermo,Entire home/apt,2,45012.0,18.0,19
Balvanera,Entire home/apt,3,24008.0,96.0,39
Recoleta,Entire home/apt,3,26255.0,60.0,4
San Telmo,Entire home/apt,2,36758.0,96.0,40
Floresta,Entire home/apt,3,31507.0,150.0,34
Recoleta,Entire home/apt,2,32116.0,6.0,34
Colegiales,Entire home/apt,4,63013.0,36.0,40
Palermo,Entire home/apt,2,28356.0,60.0,15
Almagro,Entire home/apt,2,23000.0,12.0,20
Boedo,Entire home/apt,4,30005.0,12.0,37
Palermo,Entire home/apt,2,36905.0,42.0,60
Palermo,Entire home/apt,2,45611.0,198.0,61
Palermo,Entire home/apt,4,40286.0,36.0,45
Palermo,Entire home/apt,4,52511.0,30.0,7
Palermo,Entire home/apt,2,42009.0,30.0,38
Belgrano,Entire home/apt,3,37808.0,90.0,45
Chacarita,Entire home/apt,4,90014.0,150.0,54
Recoleta,Entire home/apt,2,32294.0,36.0,33
San Nicolas,Entire home/apt,8,127822.0,84.0,49
Colegiales,Entire home/apt,6,107178.0,12.0,43
Retiro,Entire home/apt,4,36758.0,102.0,23
Belgrano,Entire home/apt,4,73515.0,24.0,23
Palermo,Entire home/apt,4,42009.0,12.0,40
Retiro,Entire home/apt,4,44109.0,114.0,22
Boedo,Entire home/apt,2,18757.0,18.0,33
Palermo,Entire home/apt,2,55210.0,12.0,59
San Nicolas,Entire home/apt,2,28356.0,6.0,39
Recoleta,Entire home/apt,2,41305.0,60.0,43
San Nicolas,Entire home/apt,3,50410.0,6.0,46
Retiro,Entire home/apt,2,23525.0,18.0,18
Recoleta,Entire home/apt,2,50410.0,18.0,18
Recoleta,Entire home/apt,4,31507.0,54.0,41
Monserrat,Entire home/apt,2,21004.0,18.0,35
Palermo,Entire home/apt,3,122046.0,246.0,56
Palermo,Entire home/apt,2,31507.0,30.0,53
Villa Crespo,Entire home/apt,6,22506.0,174.0,37
Palermo,Entire home/apt,1,43571.0,6.0,46
Palermo,Entire home/apt,2,33008.0,48.0,47
Palermo,Entire home/apt,3,45233.0,174.0,51
Monserrat,Entire home/apt,2,21603.0,18.0,35
Coghlan,Entire home/apt,2,40958.0,48.0,40
San Telmo,Entire home/apt,4,40213.0,6.0,38
Palermo,Entire home/apt,4,52511.0,168.0,46
Recoleta,Entire home/apt,3,64063.0,96.0,44
Monserrat,Entire home/apt,3,28356.0,54.0,35
